pitch_id,title,characteristics,epicFit,ideaForSolution,internCandidate,maintenance,problem,smartToolsFit,success,whyNow
7993629,SmartTool Editors / Use AI to swap out placeholders for SmartLinks,There might be a confidence score or something for automatic swaps vs something that needs manual review.,Solving existing pain points,AI can help me both identify the placeholders in the imported content along with the replacement.,,,"As a SmartTool builder in the Tapestry space, I have content imported from the 3rd party payors that needs to be updated to swap out placeholders with Epic's SmartLinks. This is a very time consuming process to identify these placeholders (which are formatted differently from document to document) and also find the correct SmartLink to use instead. As an end user, after importing my SmartPhrases from another organization I need to replace non-Epic released SmartLinks and non-user SmartLists with the correct SmartTool for the new organization. This is a tedious and time consuming process that takes time away from caring for patients.",,"We might want to develop/SU something for tracking time it takes to make these updates without any big changes. However, that is not something that has a really obvious thing to measure besides time in activity until placeholders are resolved.",This change could be a big time saver for builders and end users (depending on who uses it).
7993631,Infrastructure / CREATE MASTERFILE FOR SMARTTOOLS CONTEXTS,,,"Create a new INI for storing SmartTools contexts. Have that include a hierarchy so SmartLinks available to ""patient"" (ex: DOB, patient name, etc) are automatically available to anything more specific. Have the SmartText Editor change what cards are available based on the chosen contexts so header/footer configuration options are available when someone is building a letter template no matter how they opened the SmartText Editor.",,,"As a builder within the Epic system, SmartTool contexts make my life harder than it needs to be: Epic releases SmartLinks, but they aren't available in the fields I want them to be. They are available in some activities within the patient chart, but not others that it should be. I then need to create copies of the Epic SmartLinks with makes future maintenance harder with more records fall out of sync with other changes Epic has made. I have a hard time figuring out what context to list on a SmartText so it shows up in the activity within the patient chart but not in other places where it doesn't make sense. When building SmartTexts, I don't have the options available to me that I always want to configure and instead need to switch between different SmartText Editor activities to do everything I want. For example, I can use the Letter Template Editor to build a letter template and configure headers/footers. However, I need to switch to the SmartText Editor to be able to configure overrides to use a different letter template when the letter is created for a child instead of an adult. As an Epic developer / TS: Creating a new SmartTool context is time consuming because I need to update many SmartLinks to include that new context so I instead typically just use MR Charting / IP Charting because its quick and easy for clinical focused SmartLinks. I don't know what SmartTool contexts I should all list when creating a new SmartLinks so I just copy something from an existing SmartLink or mark it as being available to all contexts even though it doesn't make sense to be used to billing / patient access workflows.",,,Saves time / mental load for Epic and customers.
7993912,Improve comparison with original text,Seamless integration with our current comparison UI. Discoverable without being intrusive. Facilitates accurate and more efficient review of generated text.,,"We have three ideas for fixing this: Highlight key medical terms between the original content and the AI generated content when viewing the two side by side. This could look like highlighting the word ""concussion"" so a clinician can see if this key word was preserved, omitted, or added through a hallucination. Highlight numbers between the original content and the AI generated content when viewing the two side by side. This could look like highlighting key lab values, vitals, dates, or other numbers so a clinician can see if these numbers were preserved, omitted, or added through a hallucination. Create a ""metal detector"" option. The idea here is a user could hover over a word in either the AI generated content or the original content. All instances of that word between the AI generated content and original content would then be highlighted, making it easier for users to spot what was preserved, omitted, or added through a hallucination.",,,"Currently, when a user runs a text action on a selected block of text, they are able to view the original text in a bubble for comparison. However, in the case of text actions that make minimal changes (e.g. Fix spelling and grammar), it can be difficult to spot the differences. This makes it more likely that a user would click Looks Good without thoroughly reviewing the generated text, allowing hallucinations or other discrepancies to slip through. The same holds true for text actions that are geared towards reformatting the text (e.g. Format as list). Additionally, for text actions that make larger changes to the text (e.g. Summarize), it can be painstaking to match each piece of generated text to the corresponding original text in the bubble. This either results in users taking longer than ideal to verify the summary or forgo proper review to save time. In the latter case, not only could hallucinations slip through, but also key omissions.",,,Users have requested this in demos and usability testing sessions.
7993933,Support pinning as quick button,Discoverable. Allows users quick access to the text actions they use most. Space efficient.,,"Allow users the option to pin text actions to the SmartTextBox toolbar as a quick button, similar how items under the Epic button work. Once pinned this way, users would be able to run these text actions with a single click, rather than needing to open the text action drop down menu first. To save space, we could use the icon of the category the text action falls under (one of the 4 below), only showing the display name if multiple pinned buttons are present for a single category.",,,"Currently, users have the ability to pin text actions such that they appear at the top of the drop down menu for text actions. Beyond requiring a minimum of two clicks to run such text actions, we currently limit the pinned list to five entries before additional items fall into a More menu, all but eliminating the point of pinning them.",,,Requested in usability testing sessions. The current behavior of pinned items beyond the fifth falling into a More menu was particularly disliked.
7993935,AI Text Assistant / Switch to two-column menu,Space efficient. Allows for quick access to the most possible text actions. Extensible.,,"We should make the menu two columns that span the width of the search field, similar to the Epic button. This would also facilitate us fixing QAN 7881495 by turning the main toolbar and Adjust split buttons into regular submenus.",,,"Currently, as the user begins running and pinning text actions, the drop down menu can grow very tall. Pinning a sixth item then collapses Recent into a submenu while introducing a More menu to the Pinned section, making these items less accessible. In either case, the menu is tall enough that it limits are ability to add more categories in the future (such as Shared Text Actions) without further obstructing the surrounding UI.",,,"Usability testing showed people disliked having pinned items beyond the fifth fall into a More menu, yet letting this list grow unbounded would causes other usability issues. Additionally, with our plan to support sharing text actions, a new category submenu will likely soon be needed, growing our current one column menu beyond what we deemed its limit. We're also now introducing the ability for individual workflows to add their own categories, further increasing the need to move categories to their own column."
6191585,Support spell check in standalone,Likely using Wintertree to keep things consistent.,"Solve pain points, software must work",Add the spell checker to work in a browser!,,,"As an end user, I like using the Epic system directly from a web browser because it is quicker to log in to and I don't need to keep the Hyperdrive app updated. I know I can't use Dragon and some other non-Epic apps like tap badgers for authentication, but I also can't use the spell checker which Epic provides. This means my notes have a lot of misspellings making me look unprofessional. I also can't use simple text expansions so when I type ""afib"" it gets expanded to ""Atrial fibrillation"" so the patients reading my notes in MyChart know what I'm talking about.",,,"Standalone use will likely pick up whether that is directly in a browser on a Windows or Mac (instead of using the Hyperdrive app), Chromebooks, or other platforms. Training will start using Standalone very soon and Standalone could possibly help get users back on the system earlier after malware attacks where spell checking would be missing functionality."
6855847,Create an easier way to have vanishing tips,SmartSection!,,"If Epic created a new way to adding disappearing help text to a note that would allow me, and the analysts that help me, be more efficient.",,Overall improvement.,"As a physician builder for my specialty, I want to provide hints, tips, or other types of information that show up in a note when it is being edited, but disappear when the note is signed to not clutter the note. I can use an optional SmartList, but there are a number of issues with this: The SmartLinks I want to pull in sometimes include colons in the text which prevents signing the note. My analysts tell me there are issues with my build when they try to move it to production using Data Courier when I use a colon in the text where Data Courier finds the wrong SmartList or doesn't update the optional SmartList's record ID correctly.",,,Questions about this come up every couple weeks which means it happens more frequently and aren't getting reported to the development team.
7992604,Spell Check - Compile Wintertree from Source for Windows Version of Hyperdrive Plugin,,,,,,"When we first created the Spell Check Plugin for Hyperdrive, we used the pre-compiled Sentry Spell Check Engine (SSCE) from Wintertree. This same component was already in use in the VB Spell Checker. When we added support for macOS, we couldn't use the pre-compiled DLL because it is specific to Windows. So we purchased a new, more expensive license to obtain Wintertree's source code so that we could compile SSCE from source for macOS. Currently, we have both licenses, and we are still using the pre-compiled DLL for Windows. Our older license for the pre-compiled Windows-specific DLL will soon lapse. But it doesn't make sense to renew that license because we can just compile SSCE from source for Windows like we do for macOS. As an added bonus, compiling SSCE from source gives us more control. For instance, it opens the door for supporting unicode in the future.",,,
7989552,RTF/HTML - Lightweight RTF Component for Views,"Being able to simply render RTF as HTML by setting a string value on a component would be a huge win. If we could also pull in all/most of the extra bells and whistles we are able to support in ReportViewer workflows (attribution, low vision, etc.) that would be a complete package.",This aligns with Epic's priorities to innovate with system intelligence to reduce developer overhead and frustration. This aligns with SmartTools' team priorities to solve existing pain points.,"Ideally, we could provide a lightweight component which is somewhere between a full ReportViewer and a simple DOM element wrapped around a string. This would remove a large amount of duplicative/boilerplate code and make it simpler for new views to include RTF-backed content.",true,"This will definitely require more testing/maintenance, as it will essentially be a new ""product"" for developers. However, it will also help alleviate some of the app-specific issues we encounter and allow us an easy way to test ""realistic"" setups by avoiding one-off situations.","Developers do not have a complete set of options for easily displaying RTF-backed content in their views. The wiki calls out that the ReportViewer is an ideal container because of the extra functionality it provides. Without the ability to use one (which is sometimes the case), developers have to fall back to setting something like ""dangerouslySetInnerHTML"" on a component and dealing with the risks (and shortcomings) of native HTML rendering.","This fits our mission on several levels. First, it helps create a consistency between different implementations of RTF viewing in Hyperspace by avoiding app-specific implementation discrepancies. It will help improve efficiency of others by avoiding duplicative/boilerplate code in all of the application codebases. By adding this functionality, we make it easier for developers to consume RTF-backed content and make it easier to do the ""right thing"". Lastly, this helps make out tools easier to access by other Epic developers.","Success will be measured by being able to remove all (or at least almost all) direct implementations of the RTF-to-HTML APIs and instead route them through components which we control (and can, therefore, standardize).","Now that web transitions are done, people are looking for ways to do new things and have already started reaching out (Varghese Mathew would be interested in hearing about any updates here). Additionally, now that we are no longer bound by IE limitations, we could start looking on implementing PRJ 287784 to optimize/simplify the HTML we output. By adding an extra level of abstraction we can get around a lot of the struggles we have had fighting against CSPs."
7987877,Text Actions to Use Patient's Name and Preferred Pronouns,Correctly changes the patient's name and pronouns to their preferred name and pronouns. Doesn't change other person's name/pronoun if mentioned in the content. Meet other criteria we had for text action to ensure safety.,Continue making progress on the AI Text Assistant as it's one of the starter kit AI features that is quickly being broadly adopted across the Epic community.,"Make it so that whenever a user runs a text action over text, the model will automatically swap in the patient's preferred name and pronouns, making it easy for the clinician to do the right thing. With DLG 2153040, we now send the patient's preferred name and pronouns with all defined and custom text actions. We have a line in the prompt that reads as The patient's name is <preferred first name> and the patient's pronouns are <subject><object><possessive>. This means the AI model will use the correct names and pronouns if generating from scratch or acting on text without names/pronouns. What we actually want though is for the AI model to be more assertive and always use the correct name and pronouns.",,Testing is likely pretty involved. Maintain can potentially be high if we are adding this extra piece to all prompt meaning we need to verify it for model upgrade/and other changes.,"Clinicians using ambient often get a response that does not use the patient's correct pronouns. Other times, clinicians writing text, such as in a note, use sterile language like ""Patient presents for multiple conditions. They are accompanied by their father"". Other times, a clinician uses pronouns and/or names for the patient, but may not be using the patient's preferred name or pronouns. All this means the patient is not being referred to in the way they want to be, which has an impact on trust, bias, and quality of health care received.",,Direct feedback. Feature tracking metrics on accept rate and usage.,A top request from Mayo is for a text action to update patient's pronouns. We could accomplish this in a more generic way than a dedicated text action though.
